partner,trade_value_1000usd,quantity_kg
 World,7004160.19,10367900000
Thailand,1885684.15,2786620000
Australia,1368620.54,2021700000
Japan,1354382.69,2012250000
Brunei,846330.21,1232940000
India,455663.03,702167000
Singapore,407566.59,603529000
Philippines,132122.59,175278000
China,130902.73,195322000
Bangladesh,108116.47,156545000
"Korea, Rep.",94013.2,143051000
Indonesia,65500.27,85713700
Papua New Guinea,55486.25,93421900
Vietnam,50705.48,82495200
"Hong Kong, China",29951.8,38167200
"Other Asia, nes",19114.13,38677100
United States,0.06,100
